DATE,Unemployment Rate,Unemployment Rate - Black or African American,Unemployment Rate - White,Insured Unemployment Rate,Number Unemployed for 27 Weeks & Over,EMRATIO,Personal Income,Real Personal Income,Job Openings- Total Nonfarm,AverageHourlySalary-Private
2000-01-01,4.0,8.2,3.4,2.16,721,64.6,8396.8,10855.813,,
2000-02-01,4.1,8.1,3.6,2.075,629,64.6,8458.0,10899.897,,
2000-03-01,4.0,7.4,3.5,1.95,646,64.6,8516.9,10929.236,,
2000-04-01,3.8,7.0,3.4,1.64,599,64.7,8551.4,10984.37,,
2000-05-01,4.0,7.7,3.5,1.45,643,64.4,8586.8,11021.996,,
2000-06-01,4.0,7.8,3.4,1.5,627,64.5,8637.0,11050.319,,
2000-07-01,4.0,7.7,3.5,1.62,698,64.2,8701.1,11105.581,,
2000-08-01,4.1,7.9,3.6,1.575,709,64.2,8742.0,11159.103,,
2000-09-01,3.9,7.3,3.5,1.44,646,64.2,8779.7,11159.329,,
2000-10-01,3.9,7.3,3.4,1.4,627,64.2,8803.4,11173.664,,
2000-11-01,3.9,7.3,3.5,1.6,593,64.3,8814.1,11172.874,,
2000-12-01,3.9,7.4,3.5,1.98,642,64.4,8843.8,11195.938,5088.0,
2001-01-01,4.2,8.2,3.6,2.325,676,64.4,8947.6,11276.396,5234.0,
2001-02-01,4.2,7.7,3.7,2.375,714,64.3,8985.7,11308.803,5097.0,
2001-03-01,4.3,8.3,3.7,2.32,696,64.3,9018.6,11349.539,4762.0,
2001-04-01,4.4,8.0,3.9,2.125,712,64.0,9013.4,11322.69,4615.0,
2001-05-01,4.3,7.9,3.8,2.025,624,63.8,9011.7,11290.341,4425.0,
2001-06-01,4.5,8.3,4.0,2.1,710,63.7,9015.6,11274.818,4361.0,
2001-07-01,4.6,8.0,4.0,2.35,702,63.7,9011.7,11273.766,4447.0,
2001-08-01,4.9,9.1,4.3,2.25,857,63.2,9003.1,11263.875,4024.0,
2001-09-01,5.0,8.9,4.3,2.14,819,63.5,8987.6,11282.01,4071.0,
2001-10-01,5.3,9.5,4.7,2.325,909,63.2,9017.2,11278.262,3707.0,
2001-11-01,5.5,9.8,4.9,2.575,1106,63.0,9023.9,11293.592,3775.0,
2001-12-01,5.7,10.1,5.1,2.94,1126,62.9,9031.0,11314.301,3677.0,
2002-01-01,5.7,10.0,5.1,3.4,1203,62.7,9046.9,11325.709,3699.0,
2002-02-01,5.7,9.9,5.0,3.325,1214,63.0,9056.6,11319.255,3436.0,
2002-03-01,5.7,10.5,5.0,3.2,1330,62.8,9069.9,11304.44,3612.0,
2002-04-01,5.9,10.7,5.2,2.875,1457,62.7,9122.2,11320.618,3471.0,
2002-05-01,5.8,10.2,5.1,2.65,1574,62.9,9148.5,11345.334,3457.0,
2002-06-01,5.8,10.5,5.1,2.58,1641,62.7,9175.8,11365.35,3412.0,
2002-07-01,5.8,9.8,5.2,2.725,1584,62.7,9161.9,11325.366,3367.0,
2002-08-01,5.7,9.8,5.1,2.52,1573,62.7,9172.4,11317.208,3517.0,
2002-09-01,5.7,9.7,5.1,2.35,1580,63.0,9189.0,11317.786,3301.0,
2002-10-01,5.7,9.8,5.1,2.35,1653,62.7,9222.7,11338.134,3479.0,
2002-11-01,5.9,10.7,5.1,2.54,1743,62.5,9253.9,11365.197,3514.0,
2002-12-01,6.0,11.3,5.1,2.875,1924,62.4,9287.8,11396.951,3169.0,
2003-01-01,5.8,10.5,5.2,3.3,1760,62.5,9295.1,11374.851,3441.0,
2003-02-01,5.9,10.7,5.1,3.25,1864,62.5,9305.6,11342.881,3229.0,
2003-03-01,5.9,10.3,5.1,3.18,1798,62.4,9344.6,11364.418,3099.0,
2003-04-01,6.0,10.9,5.3,2.925,1927,62.4,9364.6,11411.466,3108.0,
2003-05-01,6.1,10.9,5.4,2.7,1929,62.3,9423.2,11498.265,3289.0,
2003-06-01,6.3,11.5,5.5,2.675,2100,62.3,9465.6,11539.2,3390.0,
2003-07-01,6.2,10.9,5.4,2.85,1972,62.1,9501.3,11549.941,2981.0,
2003-08-01,6.1,10.9,5.4,2.62,1995,62.1,9544.5,11565.037,3190.0,
2003-09-01,6.1,11.1,5.3,2.4,2014,62.0,9580.9,11574.945,3091.0,
2003-10-01,6.0,11.4,5.1,2.325,1959,62.1,9617.8,11620.297,3305.0,
2003-11-01,5.8,10.2,5.2,2.46,2006,62.3,9688.0,11690.647,3324.0,
2003-12-01,5.7,10.1,5.0,2.725,1931,62.2,9719.3,11701.031,3414.0,
2004-01-01,5.7,10.4,5.0,3.1,1911,62.3,9737.2,11673.666,3424.0,
2004-02-01,5.6,9.7,4.9,2.975,1856,62.3,9772.3,11688.277,3532.0,
2004-03-01,5.8,10.3,5.1,2.725,1983,62.2,9824.2,11730.978,3525.0,
2004-04-01,5.6,9.8,5.0,2.425,1805,62.3,9880.9,11777.237,3511.0,
2004-05-01,5.6,10.1,4.9,2.16,1799,62.3,9969.6,11844.274,3710.0,
2004-06-01,5.6,10.2,5.0,2.175,1847,62.4,10010.3,11858.492,3337.0,
2004-07-01,5.5,11.0,4.7,2.24,1681,62.5,10054.1,11898.458,3814.0,
