DATE,MORTGAGE15US_Monthly Change,MORTGAGE30US_Monthly Change,MORTGAGE5US_Monthly Change,Rent Index Mon_Chg,NASDAQCOM Mon_Chg,WILL5000 Per_Mon_Chg,House Completed,House Under Construction,5yr_Maturity Per_Mon_Chg,10yr_Maturity Per_Mon_Chg,30yr_Maturity Per_Mon_Chg,CPI Mon_Chg,House Index Monthly Change,Year,Month,Unemployment Rate,Unemployment Rate - Black or African American,Unemployment Rate - White,Insured Unemployment Rate,Number Unemployed for 27 Weeks & Over,EMRATIO,Personal Income,Real Personal Income,Job Openings- Total Nonfarm,AverageHourlySalary-Private,Median Sales Price for New Houses Sold,Real Private Residential Fixed Investment,Total Construction Spending- Residential,Monthly Supply of Houses in the United States,Homeownership Rate for the United States
2000-01-01,0.0,0.0,0.0,0.0,0.0,0.0,12.62,6.79,0.0,0.0,0.0,0.0,0.0,2000,1,4.0,8.2,3.4,2.16,721,64.6,8396.8,10855.813,,,163500.0,,,4.3,67.1
2000-02-01,0.1299999999999999,0.1149999999999984,,0.2211199999999991,19.19474,2.11918,13.26,6.78,1.5197568389057698,-3.892215568862272,-6.033182503770731,0.4134700000000038,0.7869999999999919,2000,2,4.1,8.1,3.6,2.075,629,64.6,8458.0,10899.897,,,162400.0,,,4.3,
2000-03-01,-0.1005000000000002,-0.084999999999999,,0.3316700000000026,-3.1433699999999902,5.811405849518185,13.12,6.75,-2.694610778443109,-6.074766355140183,-2.889245585874809,0.5906599999999997,0.7879999999999967,2000,3,4.0,7.4,3.5,1.95,646,64.6,8516.9,10929.236,,,165100.0,,,4.3,
2000-04-01,-0.032,-0.0875000000000003,,0.2211199999999991,-18.07378,-5.277494328285175,13.07,6.72,-3.692307692307696,3.316749585406305,-3.305785123966945,-0.0590600000000023,0.7950000000000017,2000,4,3.8,7.0,3.4,1.64,599,64.7,8551.4,10984.37,,,162600.0,,,4.4,67.3
2000-05-01,0.3824999999999994,0.3625000000000007,,0.2763899999999921,-11.667740000000007,-3.609141504042785,13.34,6.66,6.869009584664547,0.9630818619582602,5.12820512820514,0.1771999999999991,0.7550000000000097,2000,5,4.0,7.7,3.5,1.45,643,64.4,8586.8,11021.996,,,164700.0,,,4.4,
2000-06-01,-0.1904999999999992,-0.2270000000000003,,0.3316800000000057,14.343900000000003,4.332648369034552,11.9,6.63,-5.829596412556063,-4.133545310015895,-3.5772357723577333,0.5906700000000029,0.7459999999999951,2000,6,4.0,7.8,3.4,1.5,627,64.5,8637.0,11050.319,,,160100.0,,,4.8,
2000-07-01,-0.1269999999999997,-0.1404999999999994,,0.3869499999999988,-5.053359999999998,-2.1161609331548887,11.87,6.58,-1.9047619047619069,0.1658374792703115,-1.349072512647556,0.2953299999999927,0.6299999999999955,2000,7,4.0,7.7,3.5,1.62,698,64.2,8701.1,11105.581,,,169000.0,,,4.1,67.5
2000-08-01,-0.1025,-0.120000000000001,,0.3869600000000019,11.150279999999997,7.124587656922618,12.31,6.59,-1.941747572815536,-5.132450331125821,-2.2222222222222205,0.0,0.7139999999999986,2000,8,4.1,7.9,3.6,1.575,709,64.2,8742.0,11159.103,,,166600.0,,,4.4,
2000-09-01,-0.1585,-0.1154999999999999,,0.3316700000000026,-13.540170000000003,-4.668820805740655,11.75,6.56,-2.145214521452144,1.221640488656185,1.923076923076929,0.5315999999999974,0.7700000000000102,2000,9,3.9,7.3,3.5,1.44,646,64.2,8779.7,11159.329,,,171500.0,,,4.0,
2000-10-01,-0.1340000000000003,-0.1169999999999999,,0.3869600000000019,-7.694490000000002,-2.193811586663032,11.76,6.6,-2.5295109612141564,-0.5172413793103492,-0.514579759862783,0.1772000000000133,0.8429999999999893,2000,10,3.9,7.3,3.4,1.4,627,64.2,8803.4,11173.664,,,176300.0,,,4.0,67.5
2000-11-01,-0.0524999999999993,-0.0499999999999998,,0.3316700000000026,-19.58456,-10.05236331491502,12.27,6.55,-1.3840830449827002,-5.025996533795479,-0.3448275862068892,0.1771999999999991,0.9200000000000016,2000,11,3.9,7.3,3.5,1.6,593,64.3,8814.1,11172.874,,,174700.0,,,4.2,
2000-12-01,-0.3615000000000004,-0.3630000000000004,,0.3869599999999877,-3.233469999999997,1.6669739682593063,12.27,6.55,-9.29824561403509,-6.569343065693436,-5.017301038062285,0.2362699999999904,0.8380000000000081,2000,12,3.9,7.4,3.5,1.98,642,64.4,8843.8,11195.938,5088.0,,162000.0,,,3.6,
2001-01-01,-0.4160000000000003,-0.3494999999999999,,0.3316700000000026,7.669629999999998,3.740838118469101,11.22,6.7,-5.996131528046414,1.3671875000000056,0.9107468123861534,0.5906599999999997,0.7079999999999984,2001,1,4.2,8.2,3.6,2.325,676,64.4,8947.6,11276.396,5234.0,,171300.0,,,3.8,67.6
2001-02-01,0.0,0.0175,,0.3869499999999988,-15.757489999999995,-9.548221411688148,11.98,6.72,0.6172839506172707,-5.202312138728332,-1.6245487364620912,0.2362700000000046,0.6529999999999916,2001,2,4.2,7.7,3.7,2.375,714,64.3,8985.7,11308.803,5097.0,,169100.0,,,3.7,
2001-03-01,-0.1319999999999996,-0.0979999999999998,,0.4422399999999982,-7.907160000000005,-6.822055630652624,11.93,6.76,-5.112474437627812,0.2032520325203209,-2.0183486238532167,0.0590700000000055,0.6080000000000041,2001,3,4.3,8.3,3.7,2.32,696,64.3,9018.6,11349.539,4762.0,,166300.0,,,3.8,
2001-04-01,0.0869999999999997,0.1254999999999997,,0.386950000000013,7.00394,8.140350938242618,12.42,6.83,2.5862068965517264,8.519269776876266,5.805243445692893,0.1771999999999991,0.5430000000000064,2001,4,4.4,8.0,3.9,2.125,712,64.0,9013.4,11322.69,4615.0,,175200.0,,,3.9,67.8
2001-05-01,0.08,0.0674999999999999,,0.4975099999999912,-0.1459199999999967,0.8491645459292849,12.24,6.87,3.57142857142857,1.4953271028037398,2.30088495575221,0.5315999999999974,0.5120000000000005,2001,5,4.3,7.9,3.8,2.025,624,63.8,9011.7,11290.341,4425.0,,175300.0,,,4.0,
2001-06-01,0.0250000000000003,0.0150000000000005,,0.3869600000000019,1.2701899999999997,-1.7490639883809844,12.83,6.88,-2.4340770791075075,-0.1841620626150973,-1.9031141868512167,0.2362699999999904,0.6329999999999956,2001,6,4.5,8.3,4.0,2.1,710,63.7,9015.6,11274.818,4361.0,,179400.0,,,4.2,
2001-07-01,-0.0175,-0.0324999999999997,,0.3869499999999988,-3.3857399999999984,-1.741357353121967,12.73,6.89,-1.039501039501036,-6.457564575645749,-1.0582010582010517,-0.1771999999999991,0.695999999999998,2001,7,4.6,8.0,4.0,2.35,702,63.7,9011.7,11273.766,4447.0,,175000.0,,,4.2,67.9
2001-08-01,-0.1825000000000001,-0.1775000000000002,,0.3869600000000019,-5.626400000000004,-6.186555997867721,12.81,6.92,-3.991596638655452,-4.339250493096659,-2.317290552584668,0.0,0.6760000000000019,2001,8,4.9,9.1,4.3,2.25,857,63.2,9003.1,11263.875,4024.0,,173700.0,,,4.4,
2001-09-01,-0.1600000000000001,-0.1325000000000002,,0.442229999999995,-7.781799999999997,-9.054976879012004,12.62,6.9,-9.846827133479216,-5.154639175257732,0.0,0.4134600000000006,0.6440000000000055,2001,9,5.0,8.9,4.3,2.14,819,63.5,8987.6,11282.01,4071.0,,166400.0,,,4.4,
2001-10-01,-0.2424999999999997,-0.2000000000000001,,0.3869499999999988,4.857439999999997,2.4459963643623333,13.34,6.81,-5.097087378640776,-6.52173913043478,-2.9197080291970825,-0.2953299999999927,0.4969999999999999,2001,10,5.3,9.5,4.7,2.325,909,63.2,9017.2,11278.262,3707.0,,171300.0,,,4.3,67.9
2001-11-01,0.0484999999999997,0.0405000000000006,,0.3869600000000019,6.100470000000001,7.498223760167039,12.42,6.83,1.5345268542199502,11.16279069767443,-3.7593984962406046,-0.0590700000000055,0.5459999999999923,2001,11,5.5,9.8,4.9,2.575,1106,63.0,9023.9,11293.592,3775.0,,168100.0,,,4.1,
2001-12-01,0.3965000000000005,0.407,,0.4422300000000092,0.5030000000000001,1.6733612591202405,13.51,6.73,10.579345088161196,6.066945606694561,7.031250000000005,-0.0590600000000023,0.597999999999999,2001,12,5.7,10.1,5.1,2.94,1126,62.9,9031.0,11314.301,3677.0,,180200.0,,,3.8,
2002-01-01,-0.0625,-0.0675000000000007,,0.3316799999999915,-0.4154399999999967,-1.335395994491601,13.24,6.69,-1.1389521640091078,0.0,-0.5474452554744571,0.1771999999999991,0.6910000000000025,2002,1,5.7,10.0,5.1,3.4,1203,62.7,9046.9,11325.709,3699.0,,187100.0,675.867,382979.0,4.2,67.9
2002-02-01,-0.1050000000000004,-0.1049999999999995,,0.3869499999999988,-5.140160000000002,-2.194093196894697,13.7,6.76,-0.921658986175116,-3.747534516765293,0.0,0.1772000000000133,0.7019999999999982,2002,2,5.7,9.9,5.0,3.325,1214,63.0,9056.6,11319.255,3436.0,,191100.0,,391434.0,4.0,
2002-03-01,0.141,0.1215000000000001,,0.3316800000000057,2.8895899999999983,4.285828976324843,13.24,6.76,10.232558139534891,11.065573770491804,6.605504587155952,0.2953299999999927,0.8430000000000035,2002,3,5.7,10.5,5.0,3.2,1330,62.8,9069.9,11304.44,3612.0,,183400.0,,390942.0,4.1,
2002-04-01,-0.0410000000000003,-0.0289999999999999,,0.2211099999999959,-3.987459999999999,-4.960779279682464,12.58,6.79,-1.898734177215187,-5.719557195571948,-0.3442340791738308,0.4725300000000061,0.9230000000000018,2002,4,5.9,10.7,5.2,2.875,1457,62.7,9122.2,11320.618,3471.0,,187100.0,692.633,404255.0,4.3,67.8
2002-05-01,-0.1949999999999994,-0.1790000000000002,,0.2211199999999991,-1.8399399999999984,-1.315183978738372,13.59,6.86,-3.440860215053766,-0.5870841487279892,-0.518134715025911,0.1181399999999968,1.1129999999999995,2002,5,5.8,10.2,5.1,2.65,1574,62.9,9148.5,11345.334,3457.0,,181000.0,,399164.0,4.0,
2002-06-01,-0.1749999999999998,-0.1559999999999997,,0.3316700000000026,-3.870719999999999,-7.14846953255994,12.81,6.89,-6.681514476614694,-4.330708661417318,-1.3888888888888902,0.0590600000000023,1.087999999999994,2002,6,5.8,10.5,5.1,2.58,1641,62.7,9175.8,11365.35,3412.0,,190600.0,,407305.0,4.2,
2002-07-01,-0.1750000000000007,-0.165,,0.2763999999999953,-3.424820000000004,-8.174421419549017,12.75,6.96,-9.0692124105012,-7.2016460905349895,-1.5845070422535186,0.2362699999999904,1.0750000000000028,2002,7,5.8,9.8,5.2,2.725,1584,62.7,9161.9,11325.366,3367.0,,175600.0,694.662,410171.0,4.2,67.9
2002-08-01,-0.2279999999999997,-0.1950000000000002,,0.1658400000000028,-0.3403300000000016,0.4305470531686739,13.39,6.84,-13.648293963254591,-8.203991130820402,-5.545617173524144,0.2953400000000101,0.9429999999999978,2002,8,5.7,9.8,5.1,2.52,1573,62.7,9172.4,11317.208,3517.0,,178900.0,,404055.0,4.0,
