DATE,DGS10
2000-01-01,6.68
2000-02-01,6.42
2000-03-01,6.03
2000-04-01,6.23
2000-05-01,6.29
2000-06-01,6.03
2000-07-01,6.04
2000-08-01,5.73
2000-09-01,5.80
2000-10-01,5.77
2000-11-01,5.48
2000-12-01,5.12
2001-01-01,5.19
2001-02-01,4.92
2001-03-01,4.93
2001-04-01,5.35
2001-05-01,5.43
2001-06-01,5.42
2001-07-01,5.07
2001-08-01,4.85
2001-09-01,4.60
2001-10-01,4.30
2001-11-01,4.78
2001-12-01,5.07
2002-01-01,5.07
2002-02-01,4.88
2002-03-01,5.42
2002-04-01,5.11
2002-05-01,5.08
2002-06-01,4.86
2002-07-01,4.51
2002-08-01,4.14
2002-09-01,3.63
2002-10-01,3.93
2002-11-01,4.22
2002-12-01,3.83
2003-01-01,4.00
2003-02-01,3.71
2003-03-01,3.83
2003-04-01,3.89
2003-05-01,3.37
2003-06-01,3.54
2003-07-01,4.49
2003-08-01,4.45
2003-09-01,3.96
2003-10-01,4.33
2003-11-01,4.34
2003-12-01,4.27
2004-01-01,4.16
2004-02-01,3.99
2004-03-01,3.86
2004-04-01,4.53
2004-05-01,4.66
2004-06-01,4.62
2004-07-01,4.50
2004-08-01,4.13
2004-09-01,4.14
2004-10-01,4.05
2004-11-01,4.36
2004-12-01,4.24
2005-01-01,4.14
2005-02-01,4.36
2005-03-01,4.50
2005-04-01,4.21
2005-05-01,4.00
2005-06-01,3.94
2005-07-01,4.28
2005-08-01,4.02
2005-09-01,4.34
2005-10-01,4.57
2005-11-01,4.49
2005-12-01,4.39
2006-01-01,4.53
2006-02-01,4.55
2006-03-01,4.86
2006-04-01,5.07
2006-05-01,5.12
2006-06-01,5.15
2006-07-01,4.99
2006-08-01,4.74
2006-09-01,4.64
2006-10-01,4.61
2006-11-01,4.46
2006-12-01,4.71
2007-01-01,4.83
2007-02-01,4.56
2007-03-01,4.65
2007-04-01,4.63
2007-05-01,4.90
2007-06-01,5.03
2007-07-01,4.78
2007-08-01,4.54
2007-09-01,4.59
2007-10-01,4.48
2007-11-01,3.97
2007-12-01,4.04
2008-01-01,3.67
2008-02-01,3.53
2008-03-01,3.45
2008-04-01,3.77
2008-05-01,4.06
2008-06-01,3.99
2008-07-01,3.99
2008-08-01,3.83
2008-09-01,3.85
2008-10-01,4.01
2008-11-01,2.93
2008-12-01,2.25
2009-01-01,2.87
2009-02-01,3.02
2009-03-01,2.71
2009-04-01,3.16
2009-05-01,3.47
2009-06-01,3.53
2009-07-01,3.52
2009-08-01,3.40
2009-09-01,3.31
2009-10-01,3.41
2009-11-01,3.21
2009-12-01,3.85
2010-01-01,3.63
2010-02-01,3.61
2010-03-01,3.84
2010-04-01,3.69
2010-05-01,3.31
2010-06-01,2.97
2010-07-01,2.94
2010-08-01,2.47
2010-09-01,2.53
2010-10-01,2.63
2010-11-01,2.81
2010-12-01,3.30
2011-01-01,3.42
2011-02-01,3.42
2011-03-01,3.47
2011-04-01,3.32
2011-05-01,3.05
2011-06-01,3.18
2011-07-01,2.82
2011-08-01,2.23
2011-09-01,1.92
2011-10-01,2.17
2011-11-01,2.08
2011-12-01,1.89
2012-01-01,1.83
2012-02-01,1.98
2012-03-01,2.23
2012-04-01,1.95
2012-05-01,1.59
2012-06-01,1.67
2012-07-01,1.51
2012-08-01,1.57
2012-09-01,1.65
2012-10-01,1.72
2012-11-01,1.62
2012-12-01,1.78
2013-01-01,2.02
2013-02-01,1.89
2013-03-01,1.87
2013-04-01,1.70
2013-05-01,2.16
2013-06-01,2.52
2013-07-01,2.60
2013-08-01,2.78
2013-09-01,2.64
2013-10-01,2.57
2013-11-01,2.75
2013-12-01,3.04
2014-01-01,2.67
2014-02-01,2.66
2014-03-01,2.73
2014-04-01,2.67
2014-05-01,2.48
2014-06-01,2.53
2014-07-01,2.58
2014-08-01,2.35
2014-09-01,2.52
2014-10-01,2.35
2014-11-01,2.18
2014-12-01,2.17
2015-01-01,1.68
2015-02-01,2.00
2015-03-01,1.94
2015-04-01,2.05
2015-05-01,2.12
2015-06-01,2.35
2015-07-01,2.20
2015-08-01,2.21
2015-09-01,2.06
2015-10-01,2.16
2015-11-01,2.21
2015-12-01,2.27
2016-01-01,1.94
2016-02-01,1.74
2016-03-01,1.78
2016-04-01,1.83
2016-05-01,1.84
2016-06-01,1.49
2016-07-01,1.46
2016-08-01,1.58
2016-09-01,1.60
2016-10-01,1.84
2016-11-01,2.37
2016-12-01,2.45
2017-01-01,2.45
2017-02-01,2.36
2017-03-01,2.40
2017-04-01,2.29
2017-05-01,2.21
2017-06-01,2.31
2017-07-01,2.30
2017-08-01,2.12
2017-09-01,2.33
2017-10-01,2.38
2017-11-01,2.42
2017-12-01,2.40
2018-01-01,2.72
2018-02-01,2.87
2018-03-01,2.74
2018-04-01,2.95
2018-05-01,2.83
2018-06-01,2.85
2018-07-01,2.96
2018-08-01,2.86
2018-09-01,3.05
2018-10-01,3.15
2018-11-01,3.01
2018-12-01,2.69
2019-01-01,2.63
2019-02-01,2.73
2019-03-01,2.41
2019-04-01,2.51
2019-05-01,2.14
2019-06-01,2.00
2019-07-01,2.02
2019-08-01,1.50
2019-09-01,1.68
2019-10-01,1.69
2019-11-01,1.78
2019-12-01,1.92
2020-01-01,1.51
2020-02-01,1.13
2020-03-01,0.70
2020-04-01,0.64
2020-05-01,0.65
2020-06-01,0.66
2020-07-01,0.55
2020-08-01,0.72
2020-09-01,0.69
2020-10-01,0.88
2020-11-01,0.84
2020-12-01,0.93
