DATE,NASDAQCOM_NBD20000101
2000-01-01,100.00000
2000-02-01,119.19474
2000-03-01,116.05137
2000-04-01,97.97759
2000-05-01,86.30985
2000-06-01,100.65375
2000-07-01,95.60039
2000-08-01,106.75067
2000-09-01,93.21050
2000-10-01,85.51601
2000-11-01,65.93145
2000-12-01,62.69798
2001-01-01,70.36761
2001-02-01,54.61012
2001-03-01,46.70296
2001-04-01,53.70690
2001-05-01,53.56098
2001-06-01,54.83117
2001-07-01,51.44543
2001-08-01,45.81903
2001-09-01,38.03723
2001-10-01,42.89467
2001-11-01,48.99514
2001-12-01,49.49814
2002-01-01,49.08270
2002-02-01,43.94254
2002-03-01,46.83213
2002-04-01,42.84467
2002-05-01,41.00473
2002-06-01,37.13401
2002-07-01,33.70919
2002-08-01,33.36886
2002-09-01,29.74507
2002-10-01,33.74700
2002-11-01,37.52915
2002-12-01,33.89318
2003-01-01,33.52266
2003-02-01,33.94419
2003-03-01,34.03682
2003-04-01,37.16193
2003-05-01,40.50173
2003-06-01,41.18416
2003-07-01,44.03213
2003-08-01,45.94643
2003-09-01,45.34978
2003-10-01,49.03651
2003-11-01,49.74837
2003-12-01,50.84244
2004-01-01,52.43570
2004-02-01,51.51370
2004-03-01,50.61022
2004-04-01,48.73044
2004-05-01,50.42039
2004-06-01,51.96975
2004-07-01,47.89828
2004-08-01,46.64814
2004-09-01,48.13887
2004-10-01,50.12220
2004-11-01,53.21380
2004-12-01,55.20931
2005-01-01,52.34078
2005-02-01,52.06949
2005-03-01,50.73737
2005-04-01,48.76851
2005-05-01,52.48823
2005-06-01,52.20247
2005-07-01,55.44761
2005-08-01,54.61672
2005-09-01,54.60657
2005-10-01,53.80994
2005-11-01,56.66552
2005-12-01,55.96762
2006-01-01,58.51815
2006-02-01,57.89816
2006-03-01,59.38026
2006-04-01,58.94324
2006-05-01,55.29661
2006-06-01,55.12429
2006-07-01,53.07828
2006-08-01,55.42020
2006-09-01,57.31547
2006-10-01,60.06345
2006-11-01,61.71457
2006-12-01,61.29633
2007-01-01,62.53074
2007-02-01,61.31816
2007-03-01,61.45748
2007-04-01,64.08289
2007-05-01,66.09870
2007-06-01,66.06596
2007-07-01,64.62040
2007-08-01,65.89161
2007-09-01,68.55990
2007-10-01,72.56005
2007-11-01,67.53106
2007-12-01,67.31077
