DATE,PI
2000-01-01,8396.8
2000-02-01,8458.0
2000-03-01,8516.9
2000-04-01,8551.4
2000-05-01,8586.8
2000-06-01,8637.0
2000-07-01,8701.1
2000-08-01,8742.0
2000-09-01,8779.7
2000-10-01,8803.4
2000-11-01,8814.1
2000-12-01,8843.8
2001-01-01,8947.6
2001-02-01,8985.7
2001-03-01,9018.6
2001-04-01,9013.4
2001-05-01,9011.7
2001-06-01,9015.6
2001-07-01,9011.7
2001-08-01,9003.1
2001-09-01,8987.6
2001-10-01,9017.2
2001-11-01,9023.9
2001-12-01,9031.0
2002-01-01,9046.9
2002-02-01,9056.6
2002-03-01,9069.9
2002-04-01,9122.2
2002-05-01,9148.5
2002-06-01,9175.8
2002-07-01,9161.9
2002-08-01,9172.4
2002-09-01,9189.0
2002-10-01,9222.7
2002-11-01,9253.9
2002-12-01,9287.8
2003-01-01,9295.1
2003-02-01,9305.6
2003-03-01,9344.6
2003-04-01,9364.6
2003-05-01,9423.2
2003-06-01,9465.6
2003-07-01,9501.3
2003-08-01,9544.5
2003-09-01,9580.9
2003-10-01,9617.8
2003-11-01,9688.0
2003-12-01,9719.3
2004-01-01,9737.2
2004-02-01,9772.3
2004-03-01,9824.2
2004-04-01,9880.9
2004-05-01,9969.6
2004-06-01,10010.3
2004-07-01,10054.1
2004-08-01,10098.6
2004-09-01,10131.5
2004-10-01,10184.1
2004-11-01,10202.0
2004-12-01,10556.1
2005-01-01,10292.1
2005-02-01,10329.4
2005-03-01,10393.9
2005-04-01,10457.5
2005-05-01,10511.5
2005-06-01,10546.6
2005-07-01,10599.9
2005-08-01,10658.1
2005-09-01,10727.0
2005-10-01,10822.7
2005-11-01,10890.4
2005-12-01,10949.7
2006-01-01,11136.9
2006-02-01,11192.0
2006-03-01,11239.7
2006-04-01,11291.8
2006-05-01,11313.6
2006-06-01,11366.6
2006-07-01,11393.4
2006-08-01,11424.0
2006-09-01,11470.7
2006-10-01,11510.1
2006-11-01,11570.4
2006-12-01,11671.2
2007-01-01,11744.7
2007-02-01,11838.3
2007-03-01,11927.2
2007-04-01,11955.5
2007-05-01,11982.7
2007-06-01,11992.7
2007-07-01,12017.6
2007-08-01,12028.5
2007-09-01,12098.9
2007-10-01,12109.7
2007-11-01,12161.6
2007-12-01,12235.9
2008-01-01,12278.6
2008-02-01,12311.0
2008-03-01,12355.4
2008-04-01,12342.8
2008-05-01,12910.1
2008-06-01,12675.0
2008-07-01,12518.8
2008-08-01,12428.1
2008-09-01,12454.6
2008-10-01,12438.7
2008-11-01,12372.0
2008-12-01,12221.4
2009-01-01,12085.5
2009-02-01,11963.4
2009-03-01,11920.0
2009-04-01,11994.1
2009-05-01,12187.1
2009-06-01,12068.4
2009-07-01,12021.2
2009-08-01,12027.4
2009-09-01,12066.4
2009-10-01,12061.6
2009-11-01,12123.7
2009-12-01,12190.6
2010-01-01,12264.2
2010-02-01,12254.8
2010-03-01,12308.6
2010-04-01,12414.3
2010-05-01,12520.9
2010-06-01,12542.8
2010-07-01,12590.6
2010-08-01,12653.7
2010-09-01,12663.7
2010-10-01,12725.5
2010-11-01,12780.0
2010-12-01,12900.2
2011-01-01,13104.4
2011-02-01,13176.1
2011-03-01,13194.2
2011-04-01,13226.3
2011-05-01,13255.6
2011-06-01,13319.9
2011-07-01,13391.0
