DATE,RPI
2000-01-01,10855.813
2000-02-01,10899.897
2000-03-01,10929.236
2000-04-01,10984.37
2000-05-01,11021.996
2000-06-01,11050.319
2000-07-01,11105.581
2000-08-01,11159.103
2000-09-01,11159.329
2000-10-01,11173.664
2000-11-01,11172.874
2000-12-01,11195.938
2001-01-01,11276.396
2001-02-01,11308.803
2001-03-01,11349.539
2001-04-01,11322.69
2001-05-01,11290.341
2001-06-01,11274.818
2001-07-01,11273.766
2001-08-01,11263.875
2001-09-01,11282.01
2001-10-01,11278.262
2001-11-01,11293.592
2001-12-01,11314.301
2002-01-01,11325.709
2002-02-01,11319.255
2002-03-01,11304.44
2002-04-01,11320.618
2002-05-01,11345.334
2002-06-01,11365.35
2002-07-01,11325.366
2002-08-01,11317.208
2002-09-01,11317.786
2002-10-01,11338.134
2002-11-01,11365.197
2002-12-01,11396.951
2003-01-01,11374.851
2003-02-01,11342.881
2003-03-01,11364.418
2003-04-01,11411.466
2003-05-01,11498.265
2003-06-01,11539.2
2003-07-01,11549.941
2003-08-01,11565.037
2003-09-01,11574.945
2003-10-01,11620.297
2003-11-01,11690.647
2003-12-01,11701.031
2004-01-01,11673.666
2004-02-01,11688.277
2004-03-01,11730.978
2004-04-01,11777.237
2004-05-01,11844.274
2004-06-01,11858.492
2004-07-01,11898.458
2004-08-01,11944.486
2004-09-01,11959.694
2004-10-01,11970.427
2004-11-01,11945.706
2004-12-01,12354.11
2005-01-01,12029.712
2005-02-01,12040.24
2005-03-01,12080.643
2005-04-01,12122.341
2005-05-01,12179.018
2005-06-01,12212.817
2005-07-01,12222.897
2005-08-01,12241.01
2005-09-01,12202.979
2005-10-01,12293.246
2005-11-01,12396.53
2005-12-01,12463.963
2006-01-01,12615.534
2006-02-01,12671.717
2006-03-01,12704.101
2006-04-01,12708.846
2006-05-01,12701.954
2006-06-01,12730.66
2006-07-01,12715.713
2006-08-01,12709.549
2006-09-01,12795.596
2006-10-01,12870.822
2006-11-01,12933.502
2006-12-01,12998.472
2007-01-01,13033.906
2007-02-01,13096.338
2007-03-01,13147.949
2007-04-01,13151.498
2007-05-01,13144.673
2007-06-01,13127.988
2007-07-01,13134.159
2007-08-01,13137.613
2007-09-01,13165.169
2007-10-01,13139.629
2007-11-01,13127.498
2007-12-01,13177.454
2008-01-01,13188.347
2008-02-01,13195.34
2008-03-01,13202.006
2008-04-01,13160.788
2008-05-01,13704.098
2008-06-01,13359.533
2008-07-01,13138.288
2008-08-01,13054.138
2008-09-01,13067.915
2008-10-01,13131.123
2008-11-01,13211.827
2008-12-01,13121.721
2009-01-01,12971.02
2009-02-01,12813.805
2009-03-01,12778.19
2009-04-01,12837.219
2009-05-01,13027.964
2009-06-01,12825.058
2009-07-01,12774.081
2009-08-01,12743.854
2009-09-01,12763.787
2009-10-01,12709.966
2009-11-01,12743.645
2009-12-01,12808.646
2010-01-01,12860.097
2010-02-01,12852.303
2010-03-01,12892.933
2010-04-01,12998.264
2010-05-01,13107.196
2010-06-01,13137.355
2010-07-01,13176.118
2010-08-01,13224.463
2010-09-01,13222.624
2010-10-01,13247.875
2010-11-01,13279.581
2010-12-01,13374.156
2011-01-01,13541.211
2011-02-01,13576.031
2011-03-01,13540.028
