DATE,UNDCON1USA
2000-01-01,679
2000-02-01,678
2000-03-01,675
2000-04-01,672
2000-05-01,666
2000-06-01,663
2000-07-01,658
2000-08-01,659
2000-09-01,656
2000-10-01,660
2000-11-01,655
2000-12-01,655
2001-01-01,670
2001-02-01,672
2001-03-01,676
2001-04-01,683
2001-05-01,687
2001-06-01,688
2001-07-01,689
2001-08-01,692
2001-09-01,690
2001-10-01,681
2001-11-01,683
2001-12-01,673
2002-01-01,669
2002-02-01,676
2002-03-01,676
2002-04-01,679
2002-05-01,686
2002-06-01,689
2002-07-01,696
2002-08-01,684
2002-09-01,691
2002-10-01,694
2002-11-01,695
2002-12-01,700
2003-01-01,717
2003-02-01,715
2003-03-01,721
2003-04-01,723
2003-05-01,724
2003-06-01,737
2003-07-01,744
2003-08-01,756
2003-09-01,769
2003-10-01,781
2003-11-01,794
2003-12-01,812
2004-01-01,818
2004-02-01,818
2004-03-01,837
2004-04-01,838
2004-05-01,853
2004-06-01,855
2004-07-01,859
2004-08-01,867
2004-09-01,870
2004-10-01,880
2004-11-01,884
2004-12-01,891
2005-01-01,904
2005-02-01,918
2005-03-01,908
2005-04-01,912
2005-05-01,913
2005-06-01,913
2005-07-01,920
2005-08-01,933
2005-09-01,945
2005-10-01,955
2005-11-01,971
2005-12-01,976
2006-01-01,989
2006-02-01,990
2006-03-01,983
2006-04-01,962
2006-05-01,960
2006-06-01,934
2006-07-01,913
2006-08-01,888
2006-09-01,864
2006-10-01,837
2006-11-01,822
2006-12-01,805
2007-01-01,779
2007-02-01,769
2007-03-01,757
2007-04-01,747
2007-05-01,730
2007-06-01,722
2007-07-01,709
2007-08-01,682
2007-09-01,667
2007-10-01,649
2007-11-01,625
2007-12-01,611
2008-01-01,592
2008-02-01,578
2008-03-01,563
2008-04-01,552
2008-05-01,532
2008-06-01,511
2008-07-01,489
2008-08-01,479
2008-09-01,456
2008-10-01,437
2008-11-01,417
2008-12-01,397
2009-01-01,383
2009-02-01,366
2009-03-01,344
2009-04-01,327
2009-05-01,316
2009-06-01,314
2009-07-01,316
2009-08-01,311
2009-09-01,314
2009-10-01,308
2009-11-01,301
2009-12-01,300
2010-01-01,299
2010-02-01,302
2010-03-01,306
2010-04-01,307
2010-05-01,301
2010-06-01,282
2010-07-01,277
2010-08-01,273
2010-09-01,270
2010-10-01,266
2010-11-01,266
2010-12-01,262
2011-01-01,260
2011-02-01,253
2011-03-01,253
2011-04-01,249
2011-05-01,246
2011-06-01,246
2011-07-01,242
2011-08-01,238
2011-09-01,237
2011-10-01,235
2011-11-01,236
2011-12-01,236
2012-01-01,241
2012-02-01,245
2012-03-01,246
2012-04-01,246
2012-05-01,253
2012-06-01,257
2012-07-01,262
2012-08-01,265
2012-09-01,271
2012-10-01,275
2012-11-01,279
2012-12-01,284
2013-01-01,285.0
2013-02-01,292.0
2013-03-01,295.0
2013-04-01,302
2013-05-01,306.0
2013-06-01,314
2013-07-01,318.0
2013-08-01,322.0
2013-09-01,323
2013-10-01,322.0
2013-11-01,327.0
2013-12-01,335.0
2014-01-01,335.0
2014-02-01,334
2014-03-01,337.0
2014-04-01,341
2014-05-01,342.0
2014-06-01,345.0
2014-07-01,344.0
2014-08-01,349.0
2014-09-01,351.0
2014-10-01,356.0
2014-11-01,358.0
2014-12-01,361.0
2015-01-01,362.0
2015-02-01,357.0
2015-03-01,361.0
2015-04-01,367
2015-05-01,371.0
2015-06-01,377.0
2015-07-01,387
2015-08-01,396.0
2015-09-01,402.0
2015-10-01,404.0
2015-11-01,413.0
2015-12-01,414.0
2016-01-01,418.0
2016-02-01,426.0
2016-03-01,426.0
2016-04-01,431.0
2016-05-01,429.0
2016-06-01,430.0
2016-07-01,430.0
2016-08-01,430.0
2016-09-01,433.0
2016-10-01,442.0
2016-11-01,444.0
2016-12-01,446.0
2017-01-01,444.0
2017-02-01,452.0
2017-03-01,453.0
2017-04-01,457.0
2017-05-01,459.0
2017-06-01,463.0
2017-07-01,463.0
2017-08-01,475.0
2017-09-01,480.0
2017-10-01,487.0
2017-11-01,496.0
2017-12-01,496.0
2018-01-01,498.0
2018-02-01,501.0
2018-03-01,506.0
2018-04-01,515.0
2018-05-01,521.0
2018-06-01,520.0
2018-07-01,525.0
2018-08-01,521.0
2018-09-01,525.0
2018-10-01,529.0
2018-11-01,532.0
2018-12-01,539.0
2019-01-01,542.0
2019-02-01,540.0
2019-03-01,531.0
2019-04-01,528.0
2019-05-01,523.0
2019-06-01,522.0
2019-07-01,520.0
2019-08-01,516.0
2019-09-01,521.0
2019-10-01,520.0
2019-11-01,522.0
2019-12-01,527.0
2020-01-01,534.0
2020-02-01,537.0
2020-03-01,533.0
2020-04-01,515.0
2020-05-01,508.0
2020-06-01,509.0
2020-07-01,514.0
2020-08-01,526.0
2020-09-01,542.0
2020-10-01,565.0
2020-11-01,586.0
2020-12-01,611.0
