DATE,COMPU1USA
2000-01-01,1262
2000-02-01,1326
2000-03-01,1312
2000-04-01,1307
2000-05-01,1334
2000-06-01,1190
2000-07-01,1187
2000-08-01,1231
2000-09-01,1175
2000-10-01,1176
2000-11-01,1227
2000-12-01,1227
2001-01-01,1122
2001-02-01,1198
2001-03-01,1193
2001-04-01,1242
2001-05-01,1224
2001-06-01,1283
2001-07-01,1273
2001-08-01,1281
2001-09-01,1262
2001-10-01,1334
2001-11-01,1242
2001-12-01,1351
2002-01-01,1324
2002-02-01,1370
2002-03-01,1324
2002-04-01,1258
2002-05-01,1359
2002-06-01,1281
2002-07-01,1275
2002-08-01,1339
2002-09-01,1331
2002-10-01,1286
2002-11-01,1401
2002-12-01,1349
2003-01-01,1317
2003-02-01,1342
2003-03-01,1305
2003-04-01,1350
2003-05-01,1390
2003-06-01,1354
2003-07-01,1424
2003-08-01,1329
2003-09-01,1413
2003-10-01,1479
2003-11-01,1439
2003-12-01,1434
2004-01-01,1434
2004-02-01,1447
2004-03-01,1491
2004-04-01,1645
2004-05-01,1505
2004-06-01,1521
2004-07-01,1546
2004-08-01,1554
2004-09-01,1533
2004-10-01,1539
2004-11-01,1464
2004-12-01,1655
2005-01-01,1589
2005-02-01,1608
2005-03-01,1524
2005-04-01,1626
2005-05-01,1750
2005-06-01,1679
2005-07-01,1639
2005-08-01,1649
2005-09-01,1631
2005-10-01,1618
2005-11-01,1633
2005-12-01,1662
2006-01-01,1663
2006-02-01,1742
2006-03-01,1911
2006-04-01,1737
2006-05-01,1609
2006-06-01,1742
2006-07-01,1654
2006-08-01,1614
2006-09-01,1675
2006-10-01,1559
2006-11-01,1525
2006-12-01,1509
2007-01-01,1501
2007-02-01,1318
2007-03-01,1312
2007-04-01,1276
2007-05-01,1278
2007-06-01,1220
2007-07-01,1208
2007-08-01,1241
2007-09-01,1085
2007-10-01,1138
2007-11-01,1128
2007-12-01,1031
2008-01-01,1004
2008-02-01,930
2008-03-01,904
2008-04-01,795
2008-05-01,879
2008-06-01,850
2008-07-01,831
2008-08-01,712
2008-09-01,820
2008-10-01,749
2008-11-01,754
2008-12-01,686
2009-01-01,566
2009-02-01,535
2009-03-01,545
2009-04-01,532
2009-05-01,492
2009-06-01,507
2009-07-01,500
2009-08-01,517
2009-09-01,481
2009-10-01,526
2009-11-01,567
2009-12-01,493
2010-01-01,448
2010-02-01,456
2010-03-01,491
2010-04-01,556
2010-05-01,518
2010-06-01,684
2010-07-01,470
2010-08-01,473
2010-09-01,484
2010-10-01,479
2010-11-01,432
2010-12-01,454
2011-01-01,423
2011-02-01,481
2011-03-01,368
2011-04-01,433
2011-05-01,443
2011-06-01,453
2011-07-01,488
2011-08-01,479
2011-09-01,426
2011-10-01,438
2011-11-01,462
2011-12-01,462
2012-01-01,392
2012-02-01,421
2012-03-01,434
2012-04-01,494
2012-05-01,475
2012-06-01,482
2012-07-01,474
2012-08-01,492
2012-09-01,512
2012-10-01,525
2012-11-01,513
2012-12-01,525
2013-01-01,556.0
2013-02-01,578.0
2013-03-01,604.0
2013-04-01,524.0
2013-05-01,549.0
2013-06-01,532.0
2013-07-01,578.0
2013-08-01,571
2013-09-01,577.0
2013-10-01,604.0
2013-11-01,601.0
2013-12-01,560.0
2014-01-01,597.0
2014-02-01,629.0
2014-03-01,629.0
2014-04-01,598.0
2014-05-01,622.0
2014-06-01,581.0
2014-07-01,630.0
2014-08-01,607.0
2014-09-01,642.0
2014-10-01,618.0
2014-11-01,620.0
2014-12-01,660.0
2015-01-01,658.0
2015-02-01,601.0
2015-03-01,577.0
2015-04-01,688.0
2015-05-01,641.0
2015-06-01,634.0
2015-07-01,637.0
2015-08-01,659.0
2015-09-01,663.0
2015-10-01,645.0
2015-11-01,649.0
2015-12-01,709.0
2016-01-01,671.0
2016-02-01,735.0
2016-03-01,711.0
2016-04-01,711.0
2016-05-01,717.0
2016-06-01,756.0
2016-07-01,744.0
2016-08-01,743.0
2016-09-01,735.0
2016-10-01,759.0
2016-11-01,785.0
2016-12-01,769.0
2017-01-01,788.0
2017-02-01,753.0
2017-03-01,795.0
2017-04-01,770.0
2017-05-01,795.0
2017-06-01,813.0
2017-07-01,842.0
2017-08-01,740.0
2017-09-01,788.0
2017-10-01,800.0
2017-11-01,797.0
2017-12-01,847.0
2018-01-01,858.0
2018-02-01,880.0
2018-03-01,849.0
2018-04-01,783.0
2018-05-01,881.0
2018-06-01,859.0
2018-07-01,818.0
2018-08-01,943.0
2018-09-01,846.0
2018-10-01,824.0
2018-11-01,780.0
2018-12-01,770.0
2019-01-01,927.0
2019-02-01,826.0
2019-03-01,955.0
2019-04-01,924.0
2019-05-01,887.0
2019-06-01,875.0
2019-07-01,913.0
2019-08-01,938.0
2019-09-01,852.0
2019-10-01,920.0
2019-11-01,915.0
2019-12-01,903.0
2020-01-01,906.0
2020-02-01,1010.0
2020-03-01,907.0
2020-04-01,885.0
2020-05-01,838.0
2020-06-01,929.0
2020-07-01,948.0
2020-08-01,895.0
2020-09-01,912.0
2020-10-01,883.0
2020-11-01,897.0
2020-12-01,950.0
